,latitude,longitude,squirrel_id,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flag,tail_twitches,approaches,indifferent,runs_from
35,40.78208185169571,-73.96431539204279,22F-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,False,False,nan,False,False,False,False,False,False,False,False
36,40.7757957380463,-73.9742073452913,12B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,nan,False,True,False,False,False,nan,False,False,False,True,False,False,True,False
37,40.7813911036179,-73.9716147061553,18A-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
38,40.7928711760061,-73.9535410657077,36H-PM-1008-02,PM,2018-10-08,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
39,40.789177463798794,-73.96391592984459,29C-AM-1007-06,AM,2018-10-07,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,True
40,40.795933779502704,-73.9579564338627,38C-PM-1014-09,PM,2018-10-14,Adult,Black,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,True,False,False
41,40.7892508428622,-73.9574648097543,31H-PM-1008-02,PM,2018-10-08,Juvenile,Gray,Above Ground,nan,True,False,True,False,False,nan,False,False,False,False,True,False,True,False
42,40.7705999588222,-73.970252675331,8H-AM-1017-06,AM,2018-10-17,Adult,Gray,Above Ground,nan,False,True,False,True,False,nan,False,False,False,False,False,False,True,False
43,40.7918613498407,-73.9579645940414,34F-AM-1007-01,AM,2018-10-07,Adult,Gray,Above Ground,nan,True,False,True,False,False,nan,False,False,False,False,False,False,False,True
44,40.7749505252981,-73.9673253417305,13H-PM-1010-02,PM,2018-10-10,Adult,Gray,Above Ground,tree,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
45,40.782030982544796,-73.9640032826529,22F-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,True,False,True,False
46,40.7905847332369,-73.95959331954091,32E-AM-1007-13,AM,2018-10-07,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
47,40.793779699421,-73.9602222116708,35C-AM-1007-05,AM,2018-10-07,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
48,40.779249873647,-73.96806350709491,17E-AM-1017-05,AM,2018-10-17,Adult,Black,Above Ground,Branch,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
49,40.7686905339212,-73.9801666435401,2B-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,nan,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
50,40.781347735250705,-73.9675634326877,19D-AM-1007-01,AM,2018-10-07,Juvenile,Gray,Ground Plane,nan,False,False,True,True,False,nan,False,False,False,False,False,False,False,False
51,40.7982886348696,-73.95849706432129,40B-AM-1019-03,AM,2018-10-19,Juvenile,Gray,Ground Plane,nan,True,True,False,False,False,nan,False,False,False,False,True,True,False,False
52,40.7681954366911,-73.97602982411779,3E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
53,40.7972399133816,-73.9568802149818,39C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,True,False
54,40.7690526441109,-73.97246424363941,6G-AM-1008-02,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
55,40.77604327200171,-73.9690175838534,14F-AM-1007-05,AM,2018-10-07,Juvenile,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,True,False
56,40.7690280985956,-73.9704082821356,6I-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,nan,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
57,40.776881164002106,-73.9684910712272,15F-PM-1010-05,PM,2018-10-10,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
58,40.7735232648872,-73.9768674812942,8B-PM-1012-02,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
59,40.7698885241349,-73.9797084866613,3A-PM-1017-06,PM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
60,40.792313040279296,-73.952819267977,36I-AM-1017-02,AM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
61,40.7692602628745,-73.9745630038492,5E-AM-1008-06,AM,2018-10-08,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,True,False,False
62,40.7903365788694,-73.95950023395079,32E-PM-1017-13,PM,2018-10-17,Adult,Gray,nan,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
63,40.7689486657963,-73.9741824992294,5F-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
64,40.7761393551781,-73.9749243901189,11B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
65,40.7780143443779,-73.968381325559,16E-PM-1018-06,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
66,40.7755898126674,-73.96942403275091,13F-AM-1007-02,AM,2018-10-07,Adult,Cinnamon,nan,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
67,40.7828364735236,-73.9689000978955,20B-PM-1013-10,PM,2018-10-13,Adult,Gray,Ground Plane,nan,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
68,40.7696753655986,-73.9804528867547,3A-PM-1017-05,PM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
69,40.7873862510001,-73.9576245992455,29H-PM-1006-01,PM,2018-10-06,Adult,Gray,Above Ground,nan,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
70,40.7845098131567,-73.9666007935638,23C-PM-1014-03,PM,2018-10-14,Adult,Gray,Above Ground,nan,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
71,40.7922645521905,-73.96148483609001,33C-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
72,40.7947639241491,-73.95466541841459,38G-PM-1020-09,PM,2018-10-20,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,True,False,False,True,False
73,40.7768804702473,-73.9667114027214,16G-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
74,40.792182245761296,-73.9530035564643,36I-PM-1007-07,PM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
75,40.7951278622399,-73.9615696577673,35A-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
